Ticker,AADR,AAPL,ARKW,BLCN,BLOK,BNB-USD,BTC-USD,ETH-USD,F,FPX,GM,GOOGL,IBM,LINK-USD,MCD,META,PSI,QTUM,RGTI,SBUX,SOL-USD,STETH-USD,T,TGT,TRX-USD,TSLA,URA,USDC-USD,USDT-USD,VZ,WBA,WMT,XRP-USD,XSD
AADR,0.04631558301433888,0.030177639730094415,0.05404800484569936,0.04150224934766723,0.05436121333325393,0.04000675122718825,0.039999613774398896,0.057139791988575515,0.03960969717027367,0.039322112279771004,0.03763521389734218,0.030053825119328897,0.018008570194907147,0.06656496777939584,0.010350498063867944,0.038560830328612204,0.05119492029751036,0.039155114753448274,0.07541322846500699,0.02794574144162895,0.06304946039382668,0.056164959214475965,0.00816945397469524,0.023240862501102452,0.03632733669642767,0.05364971387605576,0.04865710990121096,-7.331890534061238e-06,0.00011103109552868215,0.005108560828204678,0.01809205761773775,0.009333701125493444,0.05491014350920348,0.05217248725437947
AAPL,0.030177639730094415,0.07911050725105229,0.07373761675092153,0.045612932989817334,0.0623247272349932,0.045180428450496066,0.045696217721682954,0.06727240720595994,0.04198957124501945,0.044590466379190785,0.03853314645982574,0.05203661529587621,0.019808015542308283,0.07445515852545236,0.016240506320350897,0.06279534166011731,0.06469094861556438,0.046965474152004236,0.06883135848776312,0.03964320902189007,0.07767992305283171,0.06567102666861509,0.011063187174561447,0.036644830455178135,0.03842130523325089,0.08588192014699857,0.036975950719558254,1.37641512590078e-05,0.00019052606342091297,0.009423626970304914,0.023279229116319765,0.01811163972396757,0.05575421040647052,0.06782826407074094
ARKW,0.05404800484569936,0.07373761675092153,0.20130946039976969,0.1057938799285014,0.15982987679299634,0.1154803503799598,0.12979688731237563,0.1635627762232036,0.08322042533883543,0.10210871736680989,0.08185191623794158,0.0821454767361055,0.025339199978068994,0.17878263109179804,0.013710206866537747,0.11587261134780286,0.1156119234029312,0.088561936583532,0.19824650759647133,0.0644090546042555,0.19279609454505195,0.16208655075680006,0.0145907307023325,0.06260453951844816,0.08379253628264287,0.18159063486943502,0.0896427673435916,6.229284699044252e-06,0.0005416565407614961,0.00584492676077296,0.03239930642221143,0.020912940374199523,0.146096221737884,0.12477633847063334
BLCN,0.04150224934766723,0.045612932989817334,0.1057938799285014,0.11477956882187561,0.11184483846716832,0.08539373530024331,0.09798678587851244,0.12522391498766017,0.05665435956934326,0.06193193587926228,0.053311307009014326,0.04841275110771114,0.02409224318247913,0.1383053472233677,0.010824792599812644,0.06902199469712428,0.07855807468130445,0.05992178238728327,0.12026591655327204,0.04194914755130155,0.14550805202612802,0.12405136700450128,0.009672573849044816,0.03950449817390432,0.05993992711396935,0.09510907946571091,0.061044639270801816,-4.96620349998467e-05,0.0003446061133727072,0.004229761516377269,0.024953400988656883,0.015159471664117893,0.10847473508989568,0.08145432213189246
BLOK,0.05436121333325393,0.0623247272349932,0.15982987679299634,0.11184483846716832,0.18436239977540703,0.14950540363099213,0.1705081059947647,0.20773079965867625,0.07696260272840993,0.0869903986899028,0.0743102023653029,0.07134855728498982,0.027954174820942146,0.22808586546008133,0.013597157124171491,0.09376008623895708,0.10562852629804015,0.08098560060069747,0.1746710646146977,0.05405039730350516,0.23836883923247032,0.2058613379485385,0.012563578210634026,0.05217287271030215,0.11409924416247458,0.1435130033182641,0.08836024535269321,-7.761261904727601e-05,0.0006384914957668051,0.005416087859442963,0.033911165692459916,0.019774046443215315,0.18267185265580774,0.11120562661559866
BNB-USD,0.04000675122718825,0.045180428450496066,0.1154803503799598,0.08539373530024331,0.14950540363099213,0.44134776108859997,0.27496237232147497,0.3864499873276113,0.05430510974127696,0.052890439604643104,0.04760514957776991,0.042003403564050835,0.017396090062540105,0.4355968938375768,0.011561467929692641,0.0508370668305278,0.06349654703276214,0.055118275028272476,0.12534542812413077,0.0398546878478755,0.4323044255984233,0.3797514036403827,0.010163876407231365,0.03011589949707796,0.2816026394562074,0.09702924291601778,0.06642283609413617,-0.00015894018543275215,0.0005263582456251319,0.004139308225545281,0.026134567008684516,0.012353850333500869,0.3417962840108417,0.07050795847904903
BTC-USD,0.039999613774398896,0.045696217721682954,0.12979688731237563,0.09798678587851244,0.1705081059947647,0.27496237232147497,0.33131027141766567,0.3590707740502812,0.052654873000796805,0.05877827222805315,0.051088387716967755,0.05181603013815646,0.018516385439391252,0.3903970140371998,0.009998879510020499,0.05797420561317313,0.07011128455928628,0.05965911814606752,0.13480561795399715,0.03715867146538122,0.39345265298979,0.35170027425370576,0.01122799213586511,0.03531950952773826,0.2092919063493187,0.11273000399231833,0.06265386324307858,-0.00017533779533545528,0.0006750541766865131,0.0052040554793711365,0.024908608420959374,0.01515946252984802,0.31117141589005165,0.07523286254501634
ETH-USD,0.057139791988575515,0.06727240720595994,0.1635627762232036,0.12522391498766017,0.20773079965867625,0.3864499873276113,0.3590707740502812,0.583832955517541,0.07554202606194636,0.07804868280983904,0.07137225679118174,0.0715114530619011,0.02863354791875381,0.5583940516882377,0.013065813147881692,0.07935803657931181,0.09904759772524299,0.0812747449938878,0.17848473237977036,0.04879830013584671,0.5421290590805621,0.5754886671458345,0.010241874548115407,0.04836251179083513,0.27435873299326063,0.15013948674014013,0.09876374686436801,-0.00021760585621765225,0.0006358167560809844,0.004939396502262558,0.03729171436047577,0.02094475928045809,0.4102256284266668,0.10750549476120869
F,0.03960969717027367,0.04198957124501945,0.08322042533883543,0.05665435956934326,0.07696260272840993,0.05430510974127696,0.052654873000796805,0.07554202606194636,0.15830589488881217,0.05007805534953688,0.11353828413168425,0.04002822107848334,0.022840581717836303,0.09245552988634445,0.016670693267072458,0.048884919843789176,0.06849976741171447,0.050254557019491955,0.08278189038878493,0.043017219359932427,0.10833330561284911,0.07389113621653223,0.021128365194390018,0.052502424155092736,0.03905174927492243,0.08736527522864582,0.0579777962680233,2.0857227777610125e-05,0.00023914151061731292,0.014779039272191676,0.03730145715252896,0.01719549084394036,0.06884652091326597,0.07637190983963367
FPX,0.039322112279771004,0.044590466379190785,0.10210871736680989,0.06193193587926228,0.0869903986899028,0.052890439604643104,0.05877827222805315,0.07804868280983904,0.05007805534953688,0.07184833270165611,0.050236668406436646,0.04852487926143011,0.021944519132819484,0.0853405686404728,0.012147164002545062,0.0689500459516841,0.0785965846723071,0.05766095845441482,0.11599309724746863,0.040974176507110945,0.0858216079027996,0.07640809436400908,0.00882870108614883,0.03745508870528768,0.04050188821921254,0.09376814245431991,0.06251214530316977,7.883496168638846e-06,0.00021931598084601659,0.003765645212660074,0.022239121279361253,0.016629621038066845,0.06488349484758849,0.08249258292860594
GM,0.03763521389734218,0.03853314645982574,0.08185191623794158,0.053311307009014326,0.0743102023653029,0.04760514957776991,0.051088387716967755,0.07137225679118174,0.11353828413168425,0.050236668406436646,0.13584105852969894,0.03688595681409312,0.020979311606859345,0.08838128128013846,0.015730060740227907,0.050004304008152825,0.06447827030812518,0.049443599574798554,0.09708692949596195,0.03800233656502294,0.09102313768454061,0.07029009985866043,0.018484102248949714,0.04772608813749267,0.0407252423849461,0.08383558835276624,0.05238051867513429,-4.067487533447115e-05,0.0002081166729836488,0.009709362690726196,0.033907154045207846,0.013964694301378866,0.06091843451237001,0.0707746595585006
GOOGL,0.030053825119328897,0.05203661529587621,0.0821454767361055,0.04841275110771114,0.07134855728498982,0.042003403564050835,0.05181603013815646,0.0715114530619011,0.04002822107848334,0.04852487926143011,0.03688595681409312,0.09682438744867074,0.016343503999716482,0.07921869023223886,0.012076159747996033,0.08198319376172404,0.06700005916806177,0.05012340130870253,0.09290426566545974,0.03261400925413839,0.08752056455673063,0.06922554024657733,0.005010715642105425,0.033766145224026434,0.039396117624253726,0.07970622003536501,0.04367945525249785,-4.904623855287902e-06,0.0001453321228052489,0.005366598104801056,0.0204126768949342,0.013810890265724225,0.06584330113301598,0.06795048575189136
IBM,0.018008570194907147,0.019808015542308283,0.025339199978068994,0.02409224318247913,0.027954174820942146,0.017396090062540105,0.018516385439391252,0.02863354791875381,0.022840581717836303,0.021944519132819484,0.020979311606859345,0.016343503999716482,0.05292228769237973,0.029331366945072653,0.011575405184134017,0.02011484307283298,0.029910346962144268,0.02186872187851724,0.03651156146486453,0.020150935077365803,0.027601895528049154,0.027275776492160977,0.0154486035853287,0.018600375734409414,0.016034404238610803,0.019897076820665917,0.023323171626313678,-1.6899722946377803e-05,3.062526847641388e-05,0.012177437847229954,0.018686507695426784,0.01142554645856464,0.024051820645566966,0.029053939056615158
LINK-USD,0.06656496777939584,0.07445515852545236,0.17878263109179804,0.1383053472233677,0.22808586546008133,0.4355968938375768,0.3903970140371998,0.5583940516882377,0.09245552988634445,0.0853405686404728,0.08838128128013846,0.07921869023223886,0.029331366945072653,0.9385366445564186,0.014712522347249858,0.08514304704246449,0.11400567331214817,0.09035543006408583,0.18276841998808802,0.059713675964701875,0.6602003806247376,0.5488735789999535,0.012381107123794926,0.05630514730513768,0.33135526742580984,0.18360888112304757,0.10635791768622306,-0.00022900793033479223,0.0005426108688813472,0.0034509839632445786,0.03364979969160511,0.02960508797766148,0.5648520992212671,0.12231218981363026
MCD,0.010350498063867944,0.016240506320350897,0.013710206866537747,0.010824792599812644,0.013597157124171491,0.011561467929692641,0.009998879510020499,0.013065813147881692,0.016670693267072458,0.012147164002545062,0.015730060740227907,0.012076159747996033,0.011575405184134017,0.014712522347249858,0.02975959015088795,0.012471707307634626,0.01158129352361948,0.011317895828837264,0.00804024860011845,0.018558269638988843,0.015763510085703456,0.011477833907883888,0.011678946924892481,0.014141073855659407,0.012061146917846887,0.013995017808183213,0.009637196200840544,-1.4256759590615742e-05,2.7738877362021573e-05,0.0098235249878805,0.014266784760116526,0.010435020362452441,0.00969372036819108,0.01299250323393815
META,0.038560830328612204,0.06279534166011731,0.11587261134780286,0.06902199469712428,0.09376008623895708,0.0508370668305278,0.05797420561317313,0.07935803657931181,0.048884919843789176,0.0689500459516841,0.050004304008152825,0.08198319376172404,0.02011484307283298,0.08514304704246449,0.012471707307634626,0.20238707090542113,0.09105142392173504,0.06633400636015764,0.10251925168472159,0.04601139751723963,0.09029213172743641,0.07882343760975112,0.009168057458074105,0.04252256034123129,0.042306603476118906,0.09448857354753831,0.05629064678763985,7.71274463202504e-06,0.0002975968249765571,0.005460278300666813,0.017396318736520353,0.018762206708391717,0.055242108941455495,0.09060621086296555
